input,baseline_us,cached_us,cached_speedup,reduction_us,cached_reduction_us,gcd_us,cached_gcd_us,checksum,cached_checksum,status
split-h2-6,39.108000,39.268000,0.995925,1.290000,1.284000,31.747000,31.685000,12943647002262511265,12943647002262511265,ok
split-h2-8,81.791000,82.042000,0.996941,1.801000,1.842000,70.217000,70.243000,6283357429794540400,6283357429794540400,ok
split-h2-10,122.052000,122.312000,0.997874,2.314000,2.328000,104.997000,105.458000,3998298845998779095,3998298845998779095,ok
split-h2-12,186.147000,186.057000,1.000484,2.865000,2.893000,162.921000,163.991000,9665217755214970018,9665217755214970018,ok
split-h2-14,277.542000,277.672000,0.999532,3.385000,3.415000,247.776000,249.279000,13989755340198403017,13989755340198403017,ok
split-h2-16,363.159000,362.939000,1.000606,3.893000,3.865000,326.741000,327.360000,6549080309686313432,6549080309686313432,ok
split-h2-18,486.272000,486.863000,0.998786,4.396000,4.438000,439.020000,441.005000,10732870400768916419,10732870400768916419,ok
split-h2-20,640.461000,642.013000,0.997583,4.986000,4.989000,586.630000,587.804000,9198051421308553282,9198051421308553282,ok
split-h2-22,800.199000,800.338000,0.999826,5.539000,5.518000,734.712000,737.316000,16564237336527959161,16564237336527959161,ok
split-h2-24,1029.378000,1029.989000,0.999407,6.031000,6.039000,953.785000,954.930000,7097026405575266044,7097026405575266044,ok
phi15,17.045000,17.056000,0.999355,2.744000,2.754000,11.368000,11.376000,8928916402575020184,8928916402575020184,ok
SD3,77.355000,73.849000,1.047475,21.983000,21.974000,49.723000,46.338000,8608999440975272704,8608999440975272704,ok
SD4,534.224000,483.387000,1.105168,176.324000,176.843000,336.209000,286.827000,12724129247731263996,12724129247731263996,ok
