input,degree,p,r,baseline_us,cached_us,cached_speedup,factors,witnesses,constants,gcd_calls,splits,checksum,cached_checksum,degree_pairs,profile_baseline_us,reduction_us,sweep_us,gcd_us,cofactor_us,residual_us,profile_cached_us,cached_reduction_us,cached_sweep_us,cached_gcd_us,cached_cofactor_us,cached_residual_us,factor_baseline_us,factor_fixed_us,factor_speedup,status
split-h2-6,6,7,6,22.714000,22.784000,0.996928,11,10,20,20,5,12943647002262511265,12943647002262511265,1x5;1x4;1x3;1x2;1x1,26.299000,0.830000,0.472000,18.559000,3.215000,3.223000,26.309000,0.812000,0.480000,18.565000,3.234000,3.218000,50.344000,35.813000,1.405747,ok
split-h2-8,8,11,8,46.950000,47.060000,0.997663,15,14,39,39,7,6283357429794540400,6283357429794540400,1x7;1x6;1x5;1x4;1x3;1x2;1x1,53.670000,1.103000,0.940000,40.752000,5.328000,5.547000,53.920000,1.122000,0.931000,40.988000,5.328000,5.551000,104.595000,70.214000,1.489660,ok
split-h2-10,10,11,10,70.115000,69.704000,1.005896,19,18,54,54,9,3998298845998779095,3998298845998779095,1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,78.687000,1.450000,1.286000,60.743000,7.822000,7.386000,78.847000,1.422000,1.290000,60.780000,7.871000,7.484000,164.564000,98.126000,1.677068,ok
split-h2-12,12,13,12,106.728000,106.889000,0.998494,23,22,77,77,11,9665217755214970018,9665217755214970018,1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,119.207000,1.742000,1.844000,94.692000,10.935000,9.994000,119.498000,1.756000,1.846000,94.804000,10.987000,10.105000,256.792000,143.113000,1.794330,ok
split-h2-14,14,17,14,157.264000,156.563000,1.004477,27,26,108,108,13,13989755340198403017,13989755340198403017,1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,173.337000,2.012000,2.591000,140.823000,14.390000,13.521000,174.088000,2.042000,2.593000,141.816000,14.429000,13.208000,375.377000,195.310000,1.921955,ok
split-h2-16,16,17,16,204.154000,205.565000,0.993136,31,30,135,135,15,6549080309686313432,6549080309686313432,1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,226.337000,2.277000,3.230000,186.150000,18.408000,16.272000,225.606000,2.353000,3.241000,185.289000,18.337000,16.386000,513.443000,257.403000,1.994705,ok
split-h2-18,18,19,18,275.930000,276.211000,0.998983,35,34,170,170,17,10732870400768916419,10732870400768916419,1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,302.649000,2.634000,4.087000,253.292000,22.915000,19.721000,302.379000,2.626000,4.071000,252.881000,22.805000,19.996000,719.089000,352.003000,2.042849,ok
split-h2-20,20,23,20,362.579000,363.300000,0.998015,39,38,213,213,19,9198051421308553282,9198051421308553282,1x19;1x18;1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,396.209000,2.967000,5.127000,336.055000,27.770000,24.290000,395.588000,2.953000,5.117000,335.378000,27.761000,24.379000,960.187000,459.112000,2.091400,ok
split-h2-22,22,23,22,450.669000,450.279000,1.000866,43,42,252,252,21,16564237336527959161,16564237336527959161,1x21;1x20;1x19;1x18;1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,490.819000,3.225000,6.064000,419.865000,32.877000,28.788000,489.727000,3.214000,6.060000,418.813000,32.645000,28.995000,1222.666000,556.767000,2.196010,ok
split-h2-24,24,29,24,579.751000,581.664000,0.996711,47,46,315,315,23,7097026405575266044,7097026405575266044,1x23;1x22;1x21;1x20;1x19;1x18;1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,629.035000,3.454000,7.536000,544.181000,39.036000,34.828000,627.552000,3.526000,7.571000,542.637000,38.939000,34.879000,1565.656000,713.489000,2.194366,ok
phi15,8,7,2,9.884000,9.935000,0.994867,3,6,3,3,1,8928916402575020184,8928916402575020184,4x4,10.626000,1.622000,0.070000,6.690000,1.342000,0.902000,10.736000,1.632000,0.070000,6.791000,1.352000,0.891000,56.474000,56.584000,0.998056,ok
SD3,8,7,4,45.788000,43.534000,1.051776,7,22,12,12,3,8608999440975272704,8608999440975272704,2x6;2x4;2x2,48.572000,12.740000,0.283000,29.514000,2.955000,3.080000,46.469000,12.700000,0.290000,27.470000,2.925000,3.084000,80.109000,78.748000,1.017283,ok
SD4,16,11,8,311.323000,281.829000,1.104652,15,78,42,42,7,12724129247731263996,12724129247731263996,2x14;2x12;2x10;2x8;2x6;2x4;2x2,322.239000,101.634000,1.003000,196.951000,11.687000,10.964000,294.908000,101.566000,1.010000,169.710000,11.777000,10.845000,490.628000,461.897000,1.062202,ok
