input,degree,p,r,baseline_us,matrix_us,matrix_pct,rebuild_us,rebuild_pct,split_us,split_pct,fixed_us,fixed_matrix_pct,fixed_nullspace_pct,fixed_split_pct,kernel_ratio,speedup,status
split-h2-6,6,7,6,176.291,10.846,6.152328,123.804,70.227068,41.641,23.620605,53.590,20.238851,3.455869,76.305281,10.604032,3.289625,ok
split-h2-8,8,11,8,436.098,19.349,4.436847,327.386,75.071658,89.363,20.491495,110.033,17.584725,2.648296,79.766979,15.574496,3.963338,ok
split-h2-10,10,11,10,818.196,23.265,2.843451,649.644,79.399557,145.287,17.756992,174.099,13.363087,2.323965,84.312948,24.638754,4.699602,ok
split-h2-12,12,13,12,1460.079,29.755,2.037903,1192.080,81.644897,238.244,16.317199,274.858,10.825590,2.054879,87.119531,34.512188,5.312121,ok
split-h2-14,14,17,14,2377.692,34.491,1.450608,1989.696,83.681823,353.505,14.867569,390.180,8.839766,1.796863,89.363371,48.773240,6.093834,ok
split-h2-16,16,17,16,3733.115,41.211,1.103931,3200.525,85.733362,491.379,13.162707,556.066,7.411171,1.538127,91.050703,65.142191,6.713439,ok
split-h2-18,18,19,18,5863.300,61.110,1.042246,5120.697,87.334726,681.493,11.623028,764.947,7.988789,1.459970,90.551241,71.692728,7.664975,ok
split-h2-20,20,23,20,8554.758,75.082,0.877664,7573.159,88.525695,906.517,10.596641,978.523,7.672993,1.356126,90.970882,86.565567,8.742521,ok
split-h2-22,22,23,22,12080.986,85.127,0.704636,10752.933,89.007081,1242.926,10.288283,1246.721,6.828071,1.196098,91.975831,108.338348,9.690208,ok
split-h2-24,24,29,24,16750.302,105.637,0.630657,15178.077,90.613751,1466.588,8.755591,1597.973,6.610687,1.101145,92.288168,124.022900,10.482218,ok
phi15,8,7,2,220.928,30.315,13.721665,180.499,81.700373,10.114,4.577962,57.305,52.901143,29.500044,17.598813,4.464507,3.855301,ok
SD3,8,7,4,341.327,28.452,8.335702,266.026,77.938751,46.849,13.725548,82.243,34.595042,8.828715,56.576244,8.245681,4.150226,ok
SD4,16,11,8,4975.451,139.007,2.793857,4524.550,90.937485,311.894,6.268658,502.277,27.675366,8.671311,63.653323,25.545199,9.905791,ok
