input,degree,p,r,baseline_us,reduced_us,reduced_speedup,linear_stop_us,linear_stop_speedup,factors,witnesses,constants,gcd_calls,splits,degree_pairs,profile_baseline_us,reduction_us,sweep_us,gcd_us,cofactor_us,residual_us,reduced_profile_us,reduced_reduction_us,reduced_sweep_us,reduced_gcd_us,reduced_cofactor_us,reduced_residual_us,linear_factors,linear_witnesses,linear_constants,linear_gcd_calls,linear_splits,linear_profile_us,linear_reduction_us,linear_sweep_us,linear_gcd_us,linear_cofactor_us,linear_residual_us,factor_baseline_us,factor_fixed_us,factor_speedup,status
split-h2-6,6,7,6,39.489000,39.589000,0.997474,23.014000,1.715869,11,46,20,20,5,1x5;1x4;1x3;1x2;1x1,45.368000,17.730000,2.693000,16.022000,3.264000,5.659000,45.498000,17.787000,2.732000,15.997000,3.265000,5.717000,11,10,20,20,5,26.239000,0.860000,2.644000,16.015000,3.284000,3.436000,51.416000,35.112000,1.464343,ok
split-h2-8,8,11,8,84.836000,84.766000,1.000826,47.881000,1.771809,15,78,39,39,7,1x7;1x6;1x5;1x4;1x3;1x2;1x1,95.572000,39.191000,5.094000,35.942000,5.340000,10.005000,95.372000,39.128000,5.118000,35.837000,5.317000,9.972000,15,14,39,39,7,52.848000,1.130000,5.058000,35.352000,5.308000,6.000000,105.036000,68.882000,1.524869,ok
split-h2-10,10,11,10,140.779000,140.819000,0.999716,70.875000,1.986300,19,118,54,54,9,1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,155.310000,71.844000,7.087000,53.836000,7.823000,14.720000,154.720000,71.299000,7.089000,53.877000,7.751000,14.704000,19,18,54,54,9,78.086000,1.410000,7.034000,53.648000,7.753000,8.241000,165.706000,96.152000,1.723375,ok
split-h2-12,12,13,12,224.674000,225.213000,0.997607,107.970000,2.080893,23,166,77,77,11,1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,246.916000,120.517000,10.136000,84.470000,10.925000,20.868000,246.746000,120.568000,10.194000,84.158000,10.915000,20.911000,23,22,77,77,11,118.596000,1.777000,9.955000,84.727000,11.058000,11.079000,257.122000,139.938000,1.837399,ok
split-h2-14,14,17,14,341.186000,341.396000,0.999385,159.056000,2.145068,27,222,108,108,13,1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,369.928000,186.361000,14.211000,127.357000,14.332000,27.667000,372.623000,187.814000,14.192000,128.225000,14.372000,28.020000,27,26,108,108,13,172.396000,2.074000,14.032000,127.000000,14.409000,14.881000,382.107000,196.872000,1.940891,ok
split-h2-16,16,17,16,480.172000,479.591000,1.001211,207.988000,2.308652,31,286,135,135,15,1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,514.674000,273.013000,17.697000,169.509000,18.288000,36.167000,513.691000,272.147000,17.753000,168.918000,18.298000,36.575000,31,30,135,135,15,225.264000,2.355000,17.494000,168.802000,18.306000,18.307000,525.540000,256.430000,2.049448,ok
split-h2-18,18,19,18,654.251000,654.370000,0.999818,275.729000,2.372804,35,358,170,170,17,1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,699.798000,381.627000,22.387000,228.377000,22.575000,44.832000,702.391000,381.937000,22.232000,230.743000,22.652000,44.827000,35,34,170,170,17,298.884000,2.653000,22.006000,228.959000,22.655000,22.611000,720.378000,343.459000,2.097421,ok
split-h2-20,20,23,20,869.449000,867.025000,1.002796,361.576000,2.404609,39,438,213,213,19,1x19;1x18;1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,930.801000,515.300000,27.984000,305.565000,27.140000,54.812000,929.599000,514.562000,28.073000,305.507000,27.371000,54.086000,39,38,213,213,19,391.340000,3.107000,28.006000,303.657000,27.396000,29.174000,963.279000,447.834000,2.150973,ok
split-h2-22,22,23,22,1129.345000,1128.334000,1.000896,446.813000,2.527556,43,526,252,252,21,1x21;1x20;1x19;1x18;1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,1196.644000,685.417000,33.225000,380.626000,31.987000,65.389000,1194.662000,684.213000,33.177000,380.068000,31.979000,65.225000,43,42,252,252,21,481.925000,3.384000,33.292000,380.100000,32.197000,32.952000,1220.740000,539.991000,2.260667,ok
split-h2-24,24,29,24,1457.031000,1458.653000,0.998888,584.517000,2.492709,47,622,315,315,23,1x23;1x22;1x21;1x20;1x19;1x18;1x17;1x16;1x15;1x14;1x13;1x12;1x11;1x10;1x9;1x8;1x7;1x6;1x5;1x4;1x3;1x2;1x1,1556.398000,887.042000,42.180000,508.586000,38.997000,79.593000,1551.330000,884.085000,42.106000,506.827000,39.076000,79.236000,47,46,315,315,23,629.383000,3.778000,41.830000,504.377000,38.948000,40.450000,1566.734000,698.596000,2.242690,ok
