n,step,dividend_degree,divisor_degree,next_remainder_degree,next_remainder_zero,divisor_num_max,divisor_den_max,divisor_total_bits,cofactor_num_max,cofactor_den_max,coefficient_ops,bit_work,limb_work
4,0,3,4,3,false,2,1,8,0,0,6,40,29
4,1,4,3,2,false,3,5,20,2,3,17,180,74
4,2,3,2,1,false,7,8,25,4,5,18,376,78
4,3,2,1,0,false,16,16,34,13,15,19,1201,82
4,4,1,0,0,true,1,1,2,24,26,20,1451,82
8,0,7,8,7,false,2,1,12,0,0,10,68,49
8,1,8,7,6,false,4,4,36,1,2,29,279,130
8,2,7,6,5,false,7,10,73,4,6,30,713,134
8,3,6,5,4,false,11,14,112,7,10,31,1482,138
8,4,5,4,3,false,22,22,160,18,19,32,2980,142
8,5,4,3,2,false,32,30,183,27,29,33,4870,154
8,6,3,2,1,false,43,44,175,40,44,34,7553,196
8,7,2,1,0,false,57,56,115,51,55,35,10309,232
8,8,1,0,0,true,1,1,2,63,67,36,8105,197
16,0,15,16,15,false,2,1,20,0,0,18,129,89
16,1,16,15,14,false,5,6,115,2,4,53,863,242
16,2,15,14,13,false,12,9,228,6,7,54,2130,246
16,3,14,13,12,false,19,19,462,17,19,55,4897,250
16,4,13,12,11,false,29,29,604,23,25,56,7423,258
16,5,12,11,10,false,32,32,635,25,28,57,9058,266
16,6,11,10,9,false,37,37,685,32,34,58,10982,298
16,7,10,9,8,false,42,42,720,37,40,59,13054,380
16,8,9,8,7,false,49,47,737,44,45,60,15520,392
16,9,8,7,6,false,57,55,775,54,55,61,18930,408
16,10,7,6,5,false,69,68,801,66,68,62,23270,520
16,11,6,5,4,false,76,76,734,70,74,63,26569,649
16,12,5,4,3,false,87,88,696,83,87,64,31719,674
16,13,4,3,2,false,98,99,575,93,97,65,36324,714
16,14,3,2,1,false,105,104,418,102,104,66,40696,796
16,15,2,1,0,false,118,121,241,118,123,67,47406,872
16,16,1,0,0,true,1,1,2,127,131,68,32675,639
32,0,31,32,31,false,2,1,36,0,0,34,248,169
32,1,32,31,30,false,6,4,201,3,2,101,1325,465
32,2,31,30,29,false,8,9,295,2,4,102,2456,467
32,3,30,29,28,false,16,19,760,10,14,103,6061,474
32,4,29,28,27,false,27,22,1191,21,20,104,11544,478
32,5,28,27,26,false,37,31,1650,31,29,105,17386,505
32,6,27,26,25,false,48,46,2336,45,46,106,25725,661
32,7,26,25,24,false,58,55,2622,50,53,107,31800,712
32,8,25,24,23,false,60,58,2590,52,54,108,33231,720
32,9,24,23,22,false,58,55,2407,50,51,109,33593,728
32,10,23,22,21,false,68,64,2704,61,62,110,38828,759
32,11,22,21,20,false,76,72,2997,70,71,111,45861,1117
32,12,21,20,19,false,88,86,3382,82,85,112,54518,1189
32,13,20,19,18,false,97,94,3448,91,91,113,60142,1208
32,14,19,18,17,false,102,101,3502,96,99,114,64105,1240
32,15,18,17,16,false,99,95,3178,93,91,115,64066,1255
32,16,17,16,15,false,102,96,3023,94,92,116,64144,1271
32,17,16,15,14,false,105,104,3080,99,101,117,70442,1381
32,18,15,14,13,false,120,120,3271,113,116,118,80585,1528
32,19,14,13,12,false,137,136,3496,131,135,119,94095,1797
32,20,13,12,11,false,154,152,3639,150,152,120,107644,2024
32,21,12,11,10,false,169,169,3671,163,167,121,120089,2186
32,22,11,10,9,false,180,177,3527,173,175,122,129991,2322
32,23,10,9,8,false,193,194,3447,189,193,123,142544,2501
32,24,9,8,7,false,206,204,3262,201,204,124,154241,2828
32,25,8,7,6,false,215,215,2978,211,214,125,163721,2914
32,26,7,6,5,false,224,221,2649,217,219,126,171370,2992
32,27,6,5,4,false,234,233,2323,230,233,127,181443,3154
32,28,5,4,3,false,247,247,1968,243,247,128,193797,3304
32,29,4,3,2,false,257,258,1543,252,255,129,204766,3357
32,30,3,2,1,false,270,270,1080,266,270,130,216966,3820
32,31,2,1,0,false,282,281,565,275,280,131,228257,3914
32,32,1,0,0,true,1,1,2,290,294,132,148033,2646
48,0,47,48,47,false,2,1,52,0,0,50,370,249
