n,shift,norm_degree,norm_num_bits,norm_den_bits,gcd_num_bits,gcd_den_bits,modular_certificate,squarefree
2,0,4,2,1,3,3,false,false
2,1,4,3,1,8,5,true,true
3,0,6,2,1,5,2,false,false
3,1,6,4,1,46,42,true,true
4,0,8,2,1,10,5,false,false
4,1,8,6,1,121,109,true,true
6,0,12,2,1,17,12,false,false
6,1,12,9,1,449,438,true,true
8,0,16,2,1,26,20,false,false
8,1,16,11,1,1035,1014,true,true
12,0,24,2,1,45,39,false,false
12,1,24,17,1,3464,3430,true,true
24,0,48,2,1,112,105,false,false
24,1,48,36,1,25546,25476,true,true
