n,lower_dim,step,dividend_degree,divisor_degree,next_remainder_degree,next_remainder_zero,lc_num_max,lc_den_max,divisor_num_max,divisor_den_max,cofactor_num_max,cofactor_den_max,lower_inversions,lower_products,lower_inv_limb_work,lower_prod_limb_work,limb_work
2,2,0,1,2,1,false,1,1,2,1,0,0,1,3,57,34,91
2,2,1,2,1,0,false,4,1,7,9,4,8,3,11,227,158,385
2,2,2,1,0,0,true,17,17,1,1,17,22,3,11,227,160,387
3,3,0,1,2,1,false,1,1,2,1,0,0,1,3,68,69,137
3,3,1,2,1,0,false,4,3,22,23,20,23,3,11,349,342,691
3,3,2,1,0,0,true,47,46,1,1,45,49,3,11,405,348,753
4,4,0,1,2,1,false,1,1,2,1,0,0,1,3,79,116,195
4,4,1,2,1,0,false,3,3,29,27,25,27,3,11,503,596,1099
4,4,2,1,0,0,true,60,53,1,1,65,70,3,11,633,728,1361
6,6,0,1,2,1,false,1,1,2,1,0,0,1,3,101,246,347
6,6,1,2,1,0,false,4,2,34,34,27,32,3,11,915,1314,2229
6,6,2,1,0,0,true,67,67,1,1,91,95,3,11,1697,1932,3629
8,8,0,1,2,1,false,1,1,2,1,0,0,1,3,123,424,547
8,8,1,2,1,0,false,4,2,40,41,33,37,3,11,1452,2312,3764
8,8,2,1,0,0,true,79,79,1,1,121,124,3,11,3284,3520,6804
12,12,0,1,2,1,false,1,1,2,1,0,0,1,3,167,924,1091
12,12,1,2,1,0,false,4,3,94,94,89,94,3,11,4008,8316,12324
12,12,2,1,0,0,true,189,188,1,1,201,206,3,11,11305,13896,25201
