family,parameter,max_boundary_degree,max_boundary_coefficient_bits
dense-chain-dimension,1,2,4
dense-chain-dimension,2,4,8
dense-chain-dimension,4,4,8
dense-chain-dimension,8,4,10
dense-chain-dimension,16,4,11
dense-chain-dimension,32,4,12
dense-chain-dimension,64,4,13
dense-chain-degree,1,2,4
dense-chain-degree,2,4,8
dense-chain-degree,4,8,11
dense-chain-degree,8,16,10
dense-chain-degree,16,32,12
dense-chain-degree,32,64,13
dense-chain-degree,64,128,14
chain-conjugate-poly,1,1,1
chain-conjugate-poly,2,2,1
chain-conjugate-poly,4,2,2
chain-conjugate-poly,8,2,3
chain-conjugate-poly,16,2,4
chain-conjugate-poly,32,2,5
rational-chain-dimension,1,2,3
rational-chain-dimension,2,4,5
rational-chain-dimension,4,4,6
rational-chain-dimension,8,4,7
rational-chain-dimension,16,4,8
rational-chain-dimension,32,4,9
rational-chain-dimension,64,4,10
rational-chain-degree,1,2,5
rational-chain-degree,2,4,5
rational-chain-degree,4,8,7
rational-chain-degree,8,16,9
rational-chain-degree,16,32,11
rational-chain-degree,32,64,13
rational-chain-degree,64,128,15
diagonal-polysmith,2,2,2
diagonal-polysmith,4,2,3
diagonal-polysmith,6,2,3
diagonal-polysmith,8,2,4
diagonal-polysmith,12,2,4
diagonal-polysmith,16,2,5
small-field-degree,1,2,0
small-field-degree,2,4,0
small-field-degree,4,8,0
small-field-degree,8,16,0
small-field-degree,16,32,0
small-field-degree,32,64,0
small-field-degree,64,128,0
