family,shape,n,rows,cols,peak_bits,output_bits
random-dense-smith,square,2,2,2,12,12
random-dense-smith,tall-2x1,2,4,2,12,2
random-dense-smith,wide-1x2,2,2,4,9,1
random-dense-smith,rank-deficient,2,2,2,6,1
chain-conjugate,square,2,2,2,3,3
chain-conjugate,rank-deficient,2,2,2,3,3
random-dense-smith,square,4,4,4,28,28
random-dense-smith,tall-2x1,4,8,4,55,10
random-dense-smith,wide-1x2,4,4,8,28,1
random-dense-smith,rank-deficient,4,4,4,21,1
chain-conjugate,square,4,4,4,10,5
chain-conjugate,rank-deficient,4,4,4,9,4
random-dense-smith,square,6,6,6,56,31
random-dense-smith,tall-2x1,6,12,6,316,9
random-dense-smith,wide-1x2,6,6,12,98,1
random-dense-smith,rank-deficient,6,6,6,21,8
chain-conjugate,square,6,6,6,13,7
chain-conjugate,rank-deficient,6,6,6,13,6
random-dense-smith,square,8,8,8,101,48
random-dense-smith,tall-2x1,8,16,8,452,1
random-dense-smith,wide-1x2,8,8,16,145,1
random-dense-smith,rank-deficient,8,8,8,30,1
chain-conjugate,square,8,8,8,14,9
chain-conjugate,rank-deficient,8,8,8,14,7
random-dense-smith,square,10,10,10,599,76
random-dense-smith,tall-2x1,10,20,10,892,1
random-dense-smith,wide-1x2,10,10,20,1116,1
random-dense-smith,rank-deficient,10,10,10,39,9
chain-conjugate,square,10,10,10,16,11
chain-conjugate,rank-deficient,10,10,10,16,9
random-dense-smith,square,12,12,12,1080,103
random-dense-smith,tall-2x1,12,24,12,857,1
random-dense-smith,wide-1x2,12,12,24,1917,1
random-dense-smith,rank-deficient,12,12,12,202,1
chain-conjugate,square,12,12,12,19,13
chain-conjugate,rank-deficient,12,12,12,17,10
presentation-smith,square,2,2,2,4,4
presentation-smith,wide,2,2,4,3,1
presentation-smith,square,4,4,4,9,9
presentation-smith,wide,4,4,6,6,1
presentation-smith,square,8,8,8,24,24
presentation-smith,wide,8,8,10,13,1
presentation-smith,square,12,12,12,41,41
presentation-smith,wide,12,12,14,22,1
presentation-smith,square,16,16,16,61,61
presentation-smith,wide,16,16,18,31,1
presentation-smith,square,24,24,24,104,104
presentation-smith,wide,24,24,26,53,1
