# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 14374831046
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    12.83%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     9.82%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__1___redArg                                                                                                                                                                                                                                                               -      -
     9.48%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                                                                                                                                                                                                    -      -
     7.66%  [.] mi_malloc_small                                                                                                                                                                                                                                                                                                                                                                                         -      -
     4.89%  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     3.72%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3                                                                                                                                                                                                                                                                          -      -
     2.99%  [.] lean_dec_ref_cold                                                                                                                                                                                                                                                                                                                                                                                       -      -
     2.65%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     2.55%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1_spec__1___redArg                                                                                                                                                                                -      -
     2.46%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__0___redArg                                                                                                                                                                                                                                                           -      -
     2.28%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     2.00%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_distvals_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     1.79%  [.] mi_malloc                                                                                                                                                                                                                                                                                                                                                                                               -      -
     1.72%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                                                                                                                                                                                                 -      -
     1.72%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__0___redArg                                                                                                                                                                                                                                                               -      -
     1.66%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0___redArg                                                                                                                                                                                                                                                                    -      -
     1.66%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                       -      -
     1.60%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitCounts                                                                                                                                                                                                                                                                                                                                                            -      -
     1.54%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__2___redArg                                                                                                                                                                                                                                                               -      -
     1.26%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_distvals_spec__1___redArg                                                                                                                                                                                                                                                                  -      -
     1.23%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     1.20%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitSingleton                                                                                                                                                                                                                                                                                                                                                         -      -
     1.20%  [.] __gmpz_add                                                                                                                                                                                                                                                                                                                                                                                              -      -
     1.20%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     1.08%  [.] lean_free_object                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.99%  [.] __gmpz_mul_2exp                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.99%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                                                                                                                                                                                           -      -
     0.83%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_erase                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.77%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                                                                                                                                                                                                    -      -
     0.74%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     0.68%  [.] lean_array_push                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.58%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeTR_go___redArg                                                                                                                                                                                                                                                                                                                     -      -
     0.55%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_splitRevAt_go___redArg                                                                                                                                                                                                                                                                                                                  -      -
     0.55%  [.] l_List_lengthTR___redArg                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.52%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3___lam__0                                                                                                                                                                                                                                                                 -      -
     0.52%  [.] __gmpz_realloc                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.50%  [.] lean_copy_expand_array                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.43%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run___redArg                                                                                                                                                                                                                                                                                                          -      -
     0.40%  [.] lean::mpz::get_size_t() const                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.40%  [.] __gmp_default_allocate                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.37%  [.] lean_apply_2                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.37%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__3___redArg                                                                                                                                                                                                                                                            -      -
     0.37%  [.] l_List_toArrayAux___redArg                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.34%  [.] lean_array_to_list_impl                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.34%  [.] __gmpz_clear                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.34%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_insert                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.34%  [.] lean_inc_heartbeat                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.28%  [.] lean_nat_shiftl                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.28%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__2_spec__2___redArg                                                                                                                                                                        -      -
     0.28%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__4___redArg                                                                                                                                                                                                                                                               -      -
     0.28%  [.] lean::mpz::mpz(unsigned long)                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.28%  [.] l_Nat_testBit                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.25%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.25%  [.] __gmpz_init_set_ui                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.22%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__0___redArg                                                                                                                                                                                                                                                                -      -
     0.22%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__2___redArg                                                                                                                                                                                                                                                           -      -
     0.22%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4_spec__5___redArg  -      -
     0.22%  [.] l_Nat_decLe___boxed                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.22%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_push                                                                                                                                                                                                                                                                                                                                                          -      -
     0.15%  [.] free@plt                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.15%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitNontrivial                                                                                                                                                                                                                                                                                                                                                        -      -
     0.12%  [.] l_List_MergeSort_Internal_mergeSortTR_u2082___redArg                                                                                                                                                                                                                                                                                                                                                    -      -
     0.12%  [.] lean_alloc_object                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.12%  [.] lean_list_to_array                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.09%  [.] __gmpn_lshift_x86_64                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.09%  [.] realloc@plt                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.09%  [.] __gmp_default_reallocate                                                                                                                                                                                                                                                                                                                                                                                -      -
