# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12840710039
#
# Overhead  Symbol                                                                                                                                                                                                                                IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................  ....................
#
    18.46%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__0___redArg                                                                                      -      -
    10.99%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__1___redArg                                                                                         -      -
    10.95%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                              -      -
     5.75%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                     -      -
     5.51%  [.] mi_malloc_small                                                                                                                                                                                                                   -      -
     3.34%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__0___redArg                                                                                     -      -
     2.86%  [.] mi_free                                                                                                                                                                                                                           -      -
     2.86%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_updatecan_spec__0___redArg                                                                                           -      -
     2.69%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__2___redArg                                                                                      -      -
     2.55%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3                                                                                                    -      -
     2.44%  [.] lean_dec_ref_cold                                                                                                                                                                                                                 -      -
     1.74%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                              -      -
     1.48%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__0___redArg                                                                                      -      -
     1.31%  [.] malloc                                                                                                                                                                                                                            -      -
     1.27%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitCounts                                                                                                                                                                                      -      -
     1.24%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__0___redArg                                                                                         -      -
     1.17%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0___redArg                                                                                              -      -
     1.14%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeTR_go___redArg                                                                                                                                               -      -
     1.00%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1_spec__1___redArg          -      -
     1.00%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__2___redArg                                                                                         -      -
     0.96%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                           -      -
     0.96%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__1___redArg                                                                                      -      -
     0.86%  [.] lean_array_push                                                                                                                                                                                                                   -      -
     0.83%  [.] __gmpz_add                                                                                                                                                                                                                        -      -
     0.77%  [.] lean_copy_expand_array                                                                                                                                                                                                            -      -
