# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11763222846
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    23.35%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__1___redArg                                                                                                                                                                                                                                                                  -      -
    11.30%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                                                                                                                                                                                                    -      -
    10.76%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                                                                                                                                                                                                    -      -
     8.99%  [.] lp_Hex_Hex_GraphIso_Nauty_cheapautom_go                                                                                                                                                                                                                                                                                                                                                                 -      -
     8.46%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__1_spec__1___redArg                                                                                                                                                                            -      -
     4.32%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd                                                                                                                                                                                                                                                                                                                                                                       -      -
     3.16%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     2.44%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                       -      -
     1.96%  [.] mi_malloc_small                                                                                                                                                                                                                                                                                                                                                                                         -      -
     1.95%  [.] lean_copy_expand_array                                                                                                                                                                                                                                                                                                                                                                                  -      -
     1.50%  [.] __gmpz_add                                                                                                                                                                                                                                                                                                                                                                                              -      -
     1.35%  [.] lean_mk_array                                                                                                                                                                                                                                                                                                                                                                                           -      -
     1.35%  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     1.05%  [.] __gmpz_mul_2exp                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.90%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_insert                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.75%  [.] __gmpz_realloc                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.64%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__0___redArg                                                                                                                                                                                                                                                                -      -
     0.60%  [.] lean_nat_shiftl                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.60%  [.] __gmp_default_allocate                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.60%  [.] lean_dec_ref_cold                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.56%  [.] __gmpz_init_set_ui                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.56%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__3___redArg                                                                                                                                                                                                                                                                  -      -
     0.53%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__4_spec__4___redArg                                                                                                                                                                              -      -
     0.49%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     0.45%  [.] mi_malloc                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.45%  [.] lp_Hex_Hex_GraphIso_Nauty_compareCodes___redArg                                                                                                                                                                                                                                                                                                                                                         -      -
     0.45%  [.] lean_array_push                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.41%  [.] mi_bchunk_setN(mi_bchunk_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                              -      -
     0.41%  [.] lean::mpz::get_size_t() const                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.38%  [.] _mi_page_retire(mi_page_s*)                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.38%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_orbjoin_spec__2___redArg                                                                                                                                                                                                                                                                          -      -
     0.34%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__2___redArg                                                                                                                                                                                                                                                                  -      -
     0.34%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1                                                                                                                                                                                                      -      -
     0.34%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_classify_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     0.34%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_isautom_spec__2___redArg                                                                                                                                                                                                                                                                   -      -
     0.30%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_chooseTarget                                                                                                                                                                                                                                                                                                                                                           -      -
     0.30%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_fmperm_spec__1___redArg                                                                                                                                                                                                                                                                           -      -
     0.30%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4_spec__5___redArg  -      -
     0.30%  [.] __gmpn_lshift_x86_64                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.26%  [.] __gmpz_clear                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.26%  [.] lean_free_object                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.26%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.26%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     0.23%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_nodeStep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__1                                                                                                                                                                                                                                                         -      -
     0.23%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_firstFrom___redArg                                                                                                                                                                                                                                                                                                                                                       -      -
     0.19%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_orbjoin_spec__1___redArg                                                                                                                                                                                                                                                                          -      -
     0.19%  [.] _mi_malloc_generic(mi_theap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                           -      -
     0.15%  [.] __gmp_default_reallocate                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.15%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1___redArg                                                                                                                                                                                                                                                                    -      -
     0.15%  [.] lean_apply_9                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.15%  [.] lp_Hex_Hex_GraphIso_Nauty_lowBitGo                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.11%  [.] _mi_theap_collect_retired(mi_theap_s*, bool)                                                                                                                                                                                                                                                                                                                                                            -      -
     0.11%  [.] realloc@plt                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.11%  [.] _mi_arenas_collect(bool, bool, mi_tld_s*)                                                                                                                                                                                                                                                                                                                                                               -      -
     0.11%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_nextElem___redArg                                                                                                                                                                                                                                                                                                                                                        -      -
     0.11%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__4___redArg                                                                                                                                                                                                                                                                  -      -
     0.11%  [.] lean_inc_heartbeat                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.08%  [.] lean_apply_1                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.08%  [.] lean_mark_mt                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.08%  [.] lean::mpz::mpz(unsigned long)                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4___redArg                                                                                      -      -
     0.08%  [.] mi_bbitmap_setN(mi_bbitmap_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                            -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0___redArg                                                                                                                                                                                                                                                                    -      -
     0.08%  [.] mi_bchunk_try_find_and_clear(mi_bchunk_s*, unsigned long*)                                                                                                                                                                                                                                                                                                                                              -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__0___redArg                                                                                                                                                                                                                                                           -      -
     0.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_refine                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.08%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3                                                                                                                                                                                                                                                                          -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__1___redArg                                                                                                                                                                                                                                                               -      -
     0.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0___lam__0___boxed                                                                                                                                                                                                                                           -      -
     0.08%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_empty                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1_spec__1___redArg                                                                                                                                                                                -      -
     0.08%  [.] lean::mpz::~mpz()                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_classify                                                                                                                                                                                                                                                                                                                                                               -      -
     0.08%  [.] mi_page_queue_push(mi_theap_s*, mi_page_queue_s*, mi_page_s*)                                                                                                                                                                                                                                                                                                                                           -      -
     0.08%  [.] mi_arenas_page_regular_alloc(mi_theap_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                 -      -
     0.08%  [.] free@plt                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitSingleton                                                                                                                                                                                                                                                                                                                                                         -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__2___redArg                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] l_Lean_PersistentHashMap_getCollisionNodeSize___redArg                                                                                                                                                                                                                                                                                                                                                  -      -
     0.04%  [.] mi_bbitmap_try_find_and_clear_generic(mi_bbitmap_s*, unsigned long, unsigned long, unsigned long*, bool (*)(mi_bchunk_s*, unsigned long, unsigned long*))                                                                                                                                                                                                                                               -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                                                                                                                                                                                           -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                                                                                                                                                                                                 -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_breakout_go                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_inverse_spec__0___redArg                                                                                                                                                                                                                                                                   -      -
     0.04%  [k] 0xffffffffad484e53                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.04%  [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lean::mpz::is_size_t() const                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitCounts                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] mi_arena_schedule_purge(mi_arena_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                      -      -
     0.04%  [k] 0xffffffffae1c0e4a                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.04%  [.] lean_apply_4                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex_List_foldl___at___00Hex_GraphIso_Nauty_worksetOf_spec__0                                                                                                                                                                                                                                                                                                                                         -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_bestcell                                                                                                                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_cellstarts                                                                                                                                                                                                                                                                                                                                                             -      -
     0.04%  [.] l_Nat_testBit                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_breakout                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0___lam__1___boxed                                                                                                                                                                                                                                           -      -
     0.04%  [.] mi_bitmap_clearN(mi_bitmap_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] mi_arenas_page_alloc_fresh(mi_theap_s*, unsigned long, unsigned long, unsigned long, bool)                                                                                                                                                                                                                                                                                                              -      -
     0.04%  [.] lp_Hex___private_HexGraphIso_SparseBench_0__Hex_GraphIsoSparseBench_searchDigest                                                                                                                                                                                                                                                                                                                        -      -
     0.04%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run___redArg                                                                                                                                                                                                                                                                                                          -      -
     0.04%  [.] mi_bitmap_setN(mi_bitmap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                              -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_erase                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_updatecan_spec__0___redArg                                                                                                                                                                                                                                                                 -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_cheapautom                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] mi_page_queue_find_free_ex(mi_theap_s*, mi_page_queue_s*, bool)                                                                                                                                                                                                                                                                                                                                         -      -
