# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12451310811
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    22.20%    22.20%  [.] mi_malloc_small                                                                                                                                                                                                                                                                                                                                                                                         -      -
    14.39%    14.39%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                                                                                                                                                                                                    -      -
     8.02%     7.99%  [.] lean_dec_ref_cold                                                                                                                                                                                                                                                                                                                                                                                       -      -
     6.66%     6.66%  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     6.47%     6.47%  [.] lean_copy_expand_array                                                                                                                                                                                                                                                                                                                                                                                  -      -
     4.79%     4.79%  [.] lp_Hex_Hex_GraphIso_Nauty_cells_go                                                                                                                                                                                                                                                                                                                                                                      -      -
     2.87%     2.87%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                                                                                                                                                                                                    -      -
     2.69%     2.69%  [.] lp_Hex_List_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__1___redArg                                                                                                                                                                                                                                                                                                                 -      -
     2.59%     2.59%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__2___redArg                                                                                                                                                                                                                                                                  -      -
     2.45%     2.45%  [.] lp_Hex_List_filterTR_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0                                                                                                                                                                                                                                                                                                                             -      -
     2.23%     2.23%  [.] l_Nat_testBit                                                                                                                                                                                                                                                                                                                                                                                           -      -
     2.20%     2.20%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__3___redArg                                                                                                                                                                                                                                                                  -      -
     2.03%     2.03%  [.] lp_Hex_List_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__1___redArg                                                                                                                                                                                                                                                                                                               -      -
     1.63%     1.63%  [.] lean_inc_heartbeat                                                                                                                                                                                                                                                                                                                                                                                      -      -
     1.56%     1.56%  [.] lp_Hex_Hex_GraphIso_Nauty_cheapautom_go                                                                                                                                                                                                                                                                                                                                                                 -      -
     1.14%     1.14%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__4_spec__4___redArg                                                                                                                                                                              -      -


#
# (Tip: To separate samples by time use perf report --sort time,overhead,sym)
#
