# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12451310811
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    22.20%  [.] mi_malloc_small                                                                                                                                                                                                                                                                                                                                                                                         -      -
    14.39%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                                                                                                                                                                                                    -      -
     7.99%  [.] lean_dec_ref_cold                                                                                                                                                                                                                                                                                                                                                                                       -      -
     6.66%  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     6.47%  [.] lean_copy_expand_array                                                                                                                                                                                                                                                                                                                                                                                  -      -
     4.79%  [.] lp_Hex_Hex_GraphIso_Nauty_cells_go                                                                                                                                                                                                                                                                                                                                                                      -      -
     2.87%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                                                                                                                                                                                                    -      -
     2.69%  [.] lp_Hex_List_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__1___redArg                                                                                                                                                                                                                                                                                                                 -      -
     2.59%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__2___redArg                                                                                                                                                                                                                                                                  -      -
     2.45%  [.] lp_Hex_List_filterTR_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0                                                                                                                                                                                                                                                                                                                             -      -
     2.23%  [.] l_Nat_testBit                                                                                                                                                                                                                                                                                                                                                                                           -      -
     2.20%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__3___redArg                                                                                                                                                                                                                                                                  -      -
     2.03%  [.] lp_Hex_List_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__1___redArg                                                                                                                                                                                                                                                                                                               -      -
     1.63%  [.] lean_inc_heartbeat                                                                                                                                                                                                                                                                                                                                                                                      -      -
     1.56%  [.] lp_Hex_Hex_GraphIso_Nauty_cheapautom_go                                                                                                                                                                                                                                                                                                                                                                 -      -
     1.14%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__4_spec__4___redArg                                                                                                                                                                              -      -
     0.89%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__0___redArg                                                                                                                                                                                                                                                                -      -
     0.85%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.78%  [.] l_List_range_loop                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.74%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.60%  [.] __gmpz_mul_2exp                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.57%  [.] lean_array_push                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.53%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     0.53%  [.] _mi_malloc_generic(mi_theap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                           -      -
     0.46%  [.] lean_nat_shiftl                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.42%  [.] mi_malloc                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.39%  [.] _mi_page_retire(mi_page_s*)                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.39%  [.] lean_mk_array                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.36%  [.] lean_free_object                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.35%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_bestcell_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     0.35%  [.] __gmpz_add                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.32%  [.] lp_Hex_Hex_GraphIso_Nauty_compareCodes___redArg                                                                                                                                                                                                                                                                                                                                                         -      -
     0.32%  [.] __gmp_default_allocate                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.28%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     0.28%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                                                                                                                                                                                           -      -
     0.28%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                                                                                                                                                                                                 -      -
     0.25%  [.] _mi_theap_collect_retired(mi_theap_s*, bool)                                                                                                                                                                                                                                                                                                                                                            -      -
     0.25%  [.] __gmpz_realloc                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.21%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     0.21%  [.] lean::mpz::mpz(unsigned long)                                                                                                                                                                                                                                                                                                                                                                           -      -
