# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 13906702211
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    27.26%    27.26%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                                                                                                                                                                                                    -      -
    16.49%    16.49%  [.] lean_copy_expand_array                                                                                                                                                                                                                                                                                                                                                                                  -      -
     5.90%     5.90%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     5.20%     5.20%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                                                                                                                                                                                                    -      -
     4.47%     4.47%  [.] mi_malloc_small                                                                                                                                                                                                                                                                                                                                                                                         -      -
     4.03%     4.03%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__1___redArg                                                                                                                                                                                                                                                               -      -
     2.47%     2.47%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     2.16%     2.16%  [.] lean_dec_ref_cold                                                                                                                                                                                                                                                                                                                                                                                       -      -
     2.13%     2.13%  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     1.71%     1.71%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3                                                                                                                                                                                                                                                                          -      -
     1.52%     1.52%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__0___redArg                                                                                                                                                                                                                                                           -      -
     1.43%     1.43%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                       -      -
     1.24%     1.24%  [.] _mi_malloc_generic(mi_theap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                           -      -
     1.08%     1.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitSingleton                                                                                                                                                                                                                                                                                                                                                         -      -
     1.08%     1.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                                                                                                                                                                                                 -      -
     1.08%     1.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__2_spec__2___redArg                                                                                                                                                                                -      -
     1.05%     1.05%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_distvals_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     1.02%     1.02%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__2___redArg                                                                                                                                                                                                                                                               -      -


#
# (Tip: To analyze particular parallelism levels, try: perf report --latency --parallelism=32-64)
#
