# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11462336068
#
# Overhead  Symbol                                                                                                                                                                                                                                IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................  ....................
#
    42.14%  [.] lean::lean_del_core_other(lean_object*, unsigned char, lean_object*)                                                                                                                                                              -      -
    21.88%  [.] lean_copy_expand_array                                                                                                                                                                                                            -      -
     6.43%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__0___redArg                                                                                      -      -
     3.62%  [.] lp_Hex_Hex_GraphIso_Nauty_cellEnd_go                                                                                                                                                                                              -      -
     3.27%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__1___redArg                                                                                         -      -
     1.73%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                     -      -
     1.65%  [.] mi_malloc_small                                                                                                                                                                                                                   -      -
     1.61%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__2___redArg                                                                                      -      -
     1.39%  [.] mi_free                                                                                                                                                                                                                           -      -
     1.23%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__0___redArg                                                                                     -      -
     0.96%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3                                                                                                    -      -
     0.96%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_updatecan_spec__0___redArg                                                                                           -      -
     0.96%  [.] lean_dec_ref_cold                                                                                                                                                                                                                 -      -
     0.59%  [.] std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::push_back(char)                                                                                                                            -      -
     0.51%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_HexGraphIso_SparseBench_0__Hex_GraphIsoSparseBench_read_spec__0___redArg                                                             -      -
     0.50%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeTR_go___redArg                                                                                                                                               -      -
     0.50%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__0___redArg                                                                                         -      -
     0.50%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__0___redArg                                                                                      -      -
     0.46%  [.] mi_malloc                                                                                                                                                                                                                         -      -
     0.46%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                 -      -
     0.46%  [.] _mi_malloc_generic(mi_theap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                     -      -
     0.42%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitCounts                                                                                                                                                                                      -      -
     0.42%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitSingleton                                                                                                                                                                                   -      -
     0.42%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__1___redArg                                                                                      -      -
     0.35%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1___redArg                                                                                              -      -
     0.35%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_splitRevAt_go___redArg                                                                                                                                            -      -
     0.31%  [.] l_List_reverseAux___redArg                                                                                                                                                                                                        -      -
     0.27%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__1___redArg                                                                                      -      -
     0.23%  [.] lp_Hex___private_HexGraphIso_SparseBench_0__Hex_GraphIsoSparseBench_searchDigest                                                                                                                                                  -      -
     0.23%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_mapMUnsafe_map___at___00Hex_GraphIso_Nauty_Sparse_Graph_ofGraph_spec__0                                                                                                           -      -
     0.23%  [.] malloc                                                                                                                                                                                                                            -      -
